DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3606,homo,R,Male,2.8,0,Light Flicker,0,5.25,90,30583,22142,907234,157073,12095,257132,24060,547271,1641772,188344
3606,homo,R,Male,2.8,0,Light Flicker,0,4.5,90,77526,44940,1454988,354887,23914,454607,57758,661564,3129421,436323
3606,homo,R,Male,2.8,0,Light Flicker,0,4.2,90,32074,36816,1025436,259489,8999,259256,44498,485525,2062984,331801
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,20878,19256,898527,152303,6204,195265,20094,439793,1797286,179465
3606,homo,R,Male,2.8,0,Light Flicker,0,4.2,90,78543,40631,1689691,381981,25557,290019,61971,803190,3332775,497813
3606,homo,R,Male,2.8,0,Light Flicker,0,5.25,90,21781,9769,434284,96585,7127,162947,8845,221871,808889,114608
3606,homo,R,Male,2.8,0,Light Flicker,0,4.6499999999999995,90,16420,16840,686104,134199,5107,146078,18528,324011,1208305,165496
3606,homo,R,Male,2.8,0,Light Flicker,0,4.6499999999999995,90,12949,11967,460344,97670,4229,107125,13148,225180,815944,120562
3606,homo,R,Male,2.8,0,Light Flicker,0,4.6499999999999995,90,51530,22863,809015,167252,20335,296538,23353,512272,1502929,208970
3606,homo,R,Male,2.8,0,Light Flicker,0,3.0,90,19370,9937,668588,252252,6426,44868,22369,331820,1493193,302370
3606,homo,R,Male,2.8,0,Light Flicker,0,4.5,90,28293,19250,746707,122937,9533,184101,21636,364455,1361512,143810
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,18212,13195,486425,79815,5945,127915,13021,253095,821250,92890
3606,homo,R,Male,2.8,1,Light Flicker,0,4.5,90,63950,41203,1228656,336530,22157,421670,41939,661250,2425389,364398
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90,51971,37827,1668026,508701,13120,158436,69475,608838,4107867,663031
3606,homo,R,Male,2.8,1,Light Flicker,0,3.4499999999999997,90,59595,46789,1034074,285110,20515,316014,54133,536363,1682016,370479
