DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
2006,het,L,Male,20.6,0,Light Flicker,0,6.3,24811,15361,736397,311681,12128,153717,12025,381042,2283490,222985
2006,het,L,Male,20.6,1,Light Flicker,0,4.95,100692,96509,2839133,1362647,55514,658372,138116,1768288,8511445,1888851
2006,het,L,Male,20.6,1,Light Flicker,0,4.35,126654,65610,2881745,1346025,66757,486902,82502,1655707,6189946,1784305
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,348620,42749,3520056,646661,287993,652631,66333,3001215,6884830,963629
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,129679,90293,2350082,1310306,67323,729352,115592,1346434,6496457,1782187
2006,het,L,Male,20.6,0,Light Flicker,0,6.1499999999999995,183043,60721,2375446,1147294,120631,718512,44227,1566934,7038458,808028
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,100803,59209,2856093,1372471,59781,380801,79866,1656884,6297411,1845454
2006,het,L,Male,20.6,1,Light Flicker,0,4.35,90332,62152,2189325,1005910,43229,375717,79773,1036074,4949455,1366055
2006,het,L,Male,20.6,0,Light Flicker,0,6.0,96038,45549,2608261,1060044,45605,480895,43480,1271342,7435394,992922
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,49401,23764,1685080,569086,26844,151546,39727,894208,3618197,762248
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,126114,63166,2299723,1361481,71494,479796,85887,1365372,5688404,1832035
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,66643,43236,1526423,657183,35085,323982,54687,875399,3023187,867200
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,53332,31341,1146875,448209,25584,260024,43883,588271,2619739,620569
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,64250,33182,1446121,543056,37851,252036,44751,935441,2718485,742268
2006,het,L,Male,20.6,1,Light Flicker,0,4.5,91211,53838,2115289,1046563,45473,390082,67669,1163605,4923806,1372882
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,118583,61553,2914040,1360649,64054,492681,84108,1697335,6769724,1874859
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,46258,20563,1134283,574076,25191,124195,32731,572777,2756005,801191
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,56017,33038,1308221,641659,25943,269229,44214,660659,3090414,839876
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,137339,68248,2915097,1595702,86160,430944,91516,1765233,6273330,2145171
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,69055,50224,1421120,594813,41048,321709,56242,873130,2749718,838460
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,82300,11788,1215266,242550,69748,141816,9399,1068107,1842008,169127
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,56415,32845,1608590,731098,28324,253612,45265,837156,3564152,1014238
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,68218,32098,2042413,796287,41717,208591,45235,1276446,3671116,1055787
2006,het,L,Male,20.6,1,Light Flicker,0,4.95,190744,86211,3836336,1497379,116184,640191,116185,2208203,8108986,2092556
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,164666,69267,3382412,1508922,84747,506628,90240,1669838,7762361,2020801
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,80156,36384,1715294,721985,45204,184283,57273,883999,3554430,991362
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,55063,28879,1909337,694019,30442,191010,40296,1113342,3709666,949771
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,85503,55273,1790534,839209,52075,569819,65719,984908,4003191,1133460
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,122628,64955,3534146,1207901,61512,376774,95745,1886370,6480864,1644933
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,72095,40306,1951109,869558,39288,268849,52579,1103034,4022900,1152374
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,93248,41395,2407076,923892,48380,329107,56740,1184699,5445967,1235558
